filename, language, Markdown, JSON, Ruby, YAML, Gemfile, HTML, Ruby ERB, JavaScript, CoffeeScript, SCSS, comment, blank, total
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/confirmations_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/omniauth_callbacks_controller.rb, Ruby, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 8, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/passwords_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 25, 8, 35
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/registrations_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 48, 13, 63
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/sessions_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 19, 7, 28
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/admin_users/unlocks_controller.rb, Ruby, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 22, 7, 31
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/manager/base.rb, Ruby, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/answers_controller.rb, Ruby, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 7, 12, 82
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/base.rb, Ruby, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/favorites_controller.rb, Ruby, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 5, 10, 45
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/game_records_controller.rb, Ruby, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 2, 7, 51
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/homes_controller.rb, Ruby, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/post_comments_controller.rb, Ruby, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/post_images_controller.rb, Ruby, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 7, 13, 113
/Users/nakamurakeisuke/Desktop/work/vagrant/Nanikiru/app/controllers/site/relationships_controller.rb, Ruby, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
